Certification_body,Registration_number
"ООО ""ЭЙ ДЖЕЙ ЭЙ РЕГИСТРАРС""",7810729690
"ЧУ СЦ ""ВНИИГАЗ-СЕРТИФИКАТ""",5003025605
"ООО ""МГТ""",9723102106
"ФБУ ""ЦСМ ИМ. А.М. МУРАТШИНА В РЕСПУБЛИКЕ БАШКОРТОСТАН""",278002498
"ООО ""ЕВРОСЕРТИФИКА""",7724889490
"ООО ""ИРИ КОНС""",7602159400
"ООО ""ДКС РУС""",7606128499
"ООО ""ИНТЕРСЕРТИФИКА""",9728048156
"АО ""КВОЛИТИ +""",9703083021
"ООО ""ПРОМСТАНДАРТ""",6316256218
"АО ""НПК""",9731010850
ООО «СОЮЗ-СТАНДАРТ»,7719481017
"ООО ""ЭКСПЕРТ ГРУПП""",2130144342
"АНО ""ТПДУ""",7810705717
"ООО ""ВНИИСЕРТ""",7733328885
"ООО ""ЕДИНЫЙ СТАНДАРТ""",7718782029
"ООО ""ИСО КОНСАЛТИНГ""",9731003074
АО НДЦ НПФ «РУССКАЯ ЛАБОРАТОРИЯ»,7801082551
"ООО ""ВЕРТЕСТ""",7733263934
"ООО ""ПРИОРИТЕТ""",9721040214
"АО ""РТ-ТЕХПРИЕМКА""",7714710760
"ООО ""ЮРС-РУСЬ""",7801204062
"ООО ""НАНИО ЦСВЭ""",5027081870
"ООО ""РУССКИЙ ЭКСПЕРТ""",5036107324
"ООО ""ЦТКАО""",7705953735
"ООО ""ЦСК ""ПЕРМЬ-СТАНДАРТ-ТЕСТ""",5902140647
НТФ «СЦ «КОНТСТАНД»,7734149840
"ФБУ ""Пермский ЦСМ""",5902400246
"ООО ""М-СЕРТ""",7452090482
"ООО ""ЦССМ""",6829082461
"ФАУ ""РОССИЙСКИЙ МОРСКОЙ РЕГИСТР СУДОХОДСТВА""",7803052947
"ООО ""НСЦ ""Аспект-СЕРТ""",7720787190
"ООО ""НЦС""",7701873711
"Межотраслевой Фонд ""Сертификация автотранспорта САТР""",7733054480
"ООО ""Научно-исследовательский центр контроля и диагностики технических систем""",5259116040
"ООО ""ПРОНАП""",7453270456
"ООО ""СОЮЗСЕРТ""",7714323923
"ФБУ ""Мордовский ЦСМ""",1328009380
"ФБУ ""РОСТЕСТ-МОСКВА""",7727061249
"ФБУ ""УРАЛТЕСТ",6662005668
"ФБУ ""КИРОВСКИЙ ЦСМ""",4346002168
"АНО НТЦ ""ТЕХНОПРОГРЕСС""",7723534776
"ООО ""СЕРКОНС АКАДЕМИЯ""",7736663779
АО «СЖС Восток Лимитед»,7703007980
"ООО ""МЕДИТЕСТ""",7702846238
"ООО ""РЦС""",7224044688
"ООО ""РУСТЕХСЕРТ""",6670121450
АССОЦИАЦИЯ РУССКИЙ РЕГИСТР,7825457880
"ООО ""ОС СМК-ИСО 9001""",7204178316
"ООО ССУ ""ДЭКУЭС""",7606044591
"ЧУ ""ЦССК ""ИНТЕРЭКОМС""",7734188013
"АНО ""ЦМКС""",7453100944
"АНО ""ИНИС ВВТ""",7705285301
"ООО ""КЦ ""ПЕРСПЕКТИВА""",7701665503
"ООО ""ЦСМ""",7715993984
"ООО ""МСС""",7710581786
"ООО НЦС ""Менеджмент""",5260170853
ООО ПРОМСТРОЙ-СЕРТИФИКАЦИЯ,7714156856
"ООО ""Самарский ЦИС""",6312046805
"ООО ""ТЦУК""",7106054337
"ФБУ ""ТАМБОВСКИЙ ЦСМ""",6833002042
"ООО ""ЮГ-ТЕСТ""",6163064851
"ФГУП ""НАМИ""",7711000924
ФБУ «Крымский ЦСМ»,9102031678
"ООО ""ЭЛМАС""",5052001759
"ООО ""ЦИСИА""",5260276289
"ООО ""Новастандарт""",7716778475
ООО «РОСТ»,7724306821
"ООО ""ПРОНАП-ТЕХНО""",7453049656
ГОЦИСС,7810915827
"""САМТ-ФОНД""",7713141230
"ФБУ ""Самарский ЦСМ""",6311012306
"АО ""Бюро Веритас Сертификейшн Русь""",7709670368
"СОЮЗ ""ЮЖНО-УРАЛЬСКАЯ ТОРГОВО-ПРОМЫШЛЕННАЯ ПАЛАТА""",7451016239
"ООО ""МОНОЛИТ-Серт""",7713411574
ООО «РЦСМ «РЕГИОН-СТАНДАРТ»,1831105614
"АО ""РОСТЕСТ""",7706278628
"АО ""РСМЦ ""ТЕСТ-ТАТАРСТАН""",1660061040
"ФБУ ""КУЗБАССКИЙ ЦСМ""",4207007095
"ЧУ ""Воронежский центр сертификации и мониторинга""",3666099693
"ФБУ ""УЛЬЯНОВСКИЙ ЦСМ""",7303001430
"ООО ""ПРОМСТРОЙСЕРТИФИКАЦИЯ""",7705705806
"АНО ""СЦ СВЯЗЬ - СЕРТИФИКАТ""",7731186699
"ООО ""Новосибирский ЦСМ""",5401201306
"ФГБУ НИИР (ОС СМК ""Омега"")",9709082715
"ООО ""НУЦ ""КАЧЕСТВО""",7715552355
"ООО ""Тест-С.-Петербург""",7826172863
"ФБУ ""КРАСНОЯРСКИЙ ЦСМ""",2464019742
"ООО ""ВКО-ИНТЕЛЛЕКТ""",5013038988
Фонд «СКМ»,7811052972
"ООО ""АКАДЕМИЯ-СЕРТ""",7723538675
"ООО ""ВЛАДИМИР-ТЕСТ""",3327307099
"АНО ""НТЦ ""АЛЬФА РЕГИСТР""",7730185614